name,description,primary_muscles,secondary_muscles,equipment,rep_range,cues,demo_url
Barbell Bench Press,Lie flat, retract shoulders, lower to mid-chest,Chest,Triceps,barbell,6-8,"Retract shoulders; drive through feet; lead with chest",""
Incline Dumbbell Bench Press,Incline ~30 degrees,press up,Upper Chest,Shoulders,dumbbell,8-10,"Elbows 45°; full control",""
Decline Bench Press,Lower chest focus,Chest,Triceps,barbell,6-8,"Keep back flat; controlled descent",""
Push-Up,Bodyweight push program,Chest,Triceps,bodyweight,10-20,"Brace core; full ROM",""
Chest Fly (Dumbbell),Arc motion with slight elbow bend,Chest,,dumbbell,12-15,"Slight bend in elbows; feel the stretch",""
Cable Crossover,High-to-low or low-to-high variations,Chest,,machine,12-15,"Squeeze at peak contraction",""
Machine Chest Press,Machine-based chest press,Chest,Triceps,machine,8-12,"Seat height: handles at mid-chest",""
Dips (Chest Bias),Lean forward slightly for chest bias,Chest,Triceps,bodyweight,6-10,"Lean forward; go deep but controlled",""
Dips (Triceps Bias),Upright torso for triceps focus,Triceps,Chest,bodyweight,6-10,"Keep elbows tight to body",""
Pull-Up,Full pull to chin over bar,Lats,Upper Back,bodyweight,6-10,"Retract shoulders; lead with chest",""
Chin-Up,Underhand grip for biceps bias,Lats,Biceps,bodyweight,6-10,"Chin over bar; avoid swinging",""
Lat Pulldown,Pulldown to chest,Lats,Upper Back,machine,8-12,"Lean slightly back; pull to upper chest",""
Seated Cable Row,Row to lower chest/upper abdomen,Mid Back,Biceps,machine,8-12,"Pull elbows tight to ribs",""
Barbell Bent Row,Hinge and row to lower ribs,Lats,Traps,barbell,6-10,"Hinge at hips; bar close to shin",""
One-Arm Dumbbell Row,Stagger stance, row to hip,Lats,Upper Back,dumbbell,10-12,"Pull elbow to hip; brace core",""
T-Bar Row,Chest supported or standing,Mid Back,Lats,barbell,6-10,"Drive with elbows; keep torso tight",""
Inverted Row,Row using bodyweight Inverted Row,Mid Back,Biceps,bodyweight,8-12,"Keep body straight; squeeze shoulder blades",""
Face Pulls,Rope pull to face,Rear Delts,Traps,cable,12-15,"External rotate; pull to forehead",""
Barbell Overhead Press,Press overhead standing,Delts,Triceps,barbell,5-8,"Brace core; press in straight line",""
Dumbbell Shoulder Press,Seated or standing dumbbell press,Delts,Triceps,dumbbell,8-10,"Keep wrists neutral; control descent",""
Arnold Press,Rotate palms during press,Delts,Front Delts,dumbbell,8-10,"Rotate palms; keep tension",""
Lateral Raise,Raise arms to side,Lateral Delts,,dumbbell,10-20,"Slight elbow bend; lead with pinky",""
Seated Machine Shoulder Press,Machine shoulder press,Delts,Triceps,machine,8-12,"Adjust seat so handles at ear level",""
Rear Delt Fly,Bent-over rear delt fly,Rear Delts,,dumbbell,12-15,"Chest down; drive elbows out",""
Upright Row,Row bar to collarbone,Traps,Delts,barbell,8-12,"Pull with elbows; don't jerk shoulders",""
Shrugs,Shoulder shrugs for traps,Traps,,barbell,8-15,"Full shrug + hold at top",""
Barbell Curl,Standing biceps curl,Biceps,,barbell,8-12,"Elbows stay fixed; no swing",""
Dumbbell Hammer Curl,Neutral grip curl,Biceps/Brachialis,,dumbbell,10-12,"Keep wrists neutral; slow eccentrics",""
Preacher Curl,Isolated biceps curl,Biceps,,machine/dumbbell,10-12,"Control full ROM; squeeze top",""
Concentration Curl,Sitting one-arm curl,Biceps,,dumbbell,10-12,"Isolate biceps; little momentum",""
Cable Curl,Cable-based biceps work,Biceps,,machine,10-12,"Keep elbows stationary",""
Triceps Rope Pushdown,Push rope down to thighs,Triceps,,machine,12-15,"Spread rope at bottom; lock elbows",""
Skull Crushers,Lying tricep extension,Triceps,,barbell/dumbbell,8-12,"Control; don't bang skull",""
Overhead Tricep Extension,Single-arm or two-hand overhead,Triceps,,dumbbell,10-12,"Keep elbows in; full stretch",""
Close-Grip Bench Press,Hands narrow on bar,Triceps,Chest,barbell,6-8,"Keep elbows tucked; drive up",""
Dips,Parallel bar dips,Chest/Triceps,,bodyweight,6-10,"Controlled descent; full depth",""
Back Squat,High-bar/low-bar squats,Quads,Glutes,barbell,5-8,"Brace core; hit safe depth",""
Front Squat,Barbell front squat,Quads,,barbell,6-8,"Elbows high; chest up",""
Goblet Squat,Goblet with DB or KB,Quads,Adductors,dumbbell/kettlebell,8-12,"Keep upright; sit between heels",""
Split Squat,Bulgarian or regular split lunge,Quads,Glutes,bodyweight/dumbbell,8-12,"Knee in line; drive with front heel",""
Walking Lunge,Walking forward lunges,Quads,Glutes,dumbbell,10-12,"Stride moderate; knee over toe",""
Leg Press,Seated leg press,Quads,Glutes,machine,10-12,"Don't lock knees; full control",""
Leg Extension,Machine isolate quads,Quads,,machine,12-15,"Squeeze top; slow eccentrics",""
Romanian Deadlift,Hinge emphasis,Hamstrings,Glutes,barbell,6-10,"Hinge at hips; feel hamstring stretch",""
Conventional Deadlift,Deadlift from floor,Posterior Chain,Back,barbell,3-5,"Bar close; chest up; brace core",""
Sumo Deadlift,Wide stance deadlift,Posterior Chain,Glutes,barbell,3-5,"Hips lower; drive with legs",""
Good Mornings,Hip hinge movement,Hamstrings,Lower Back,barbell,8-12,"Soft knees; hinge from hips",""
Glute Bridge,Bridge from floor,Glutes,Hamstrings,bodyweight/barbell,12-15,"Drive hips up; squeeze glutes",""
Hip Thrust,Shoulder-supported thrust,Glutes,Hamstrings,barbell,8-12,"Chin tucked; full hip extension",""
Cable Pull-Through,Cable hinge for glutes,Glutes,Hamstrings,machine,10-12,"Hinge; squeeze glutes at top",""
Hamstring Curl,Machine ham curl,Hamstrings,,machine,10-15,"Slow eccentric; full contraction",""
Single-Leg Romanian,One-leg hinge,Glutes,Hamstrings,dumbbell,8-10,"Control; feel stretch in hamstring",""
Calf Raise (Standing),Standing calf raise,Calves,,machine,10-15,"Full stretch + hold at top",""
Seated Calf Raise,Seated focus on soleus,Calves,,machine,12-20,"Slow control; full ROM",""
Farmer Carry,Weighted carry for grip and core,Forearms,Core,dumbbell/kettlebell,30-90s,"Stand tall; short steps",""
Kettlebell Swing,Explosive hip hinge,Glutes,Hamstrings,kettlebell,12-20,"Snap hips; don't squat the swing",""
Box Jump,Explosive plyo jump,Quads,Glutes,bodyweight,4-8,"Soft landing; explode up",""
Step-Up,Step onto box/db,Quads,Glutes,dumbbell,8-12,"Drive through heel of working foot",""
Pistol Squat,Single-leg squat advanced,Quads,Glutes,bodyweight,4-8,"Use counterbalance; sit back",""
Sled Push,Heavy sled push,Full Body,Legs,sled,10-60m,"Drive through heels; lower torso",""
Hamstring Slide (Slider),Glute-ham slider,Hamstrings,Glutes,bodyweight,10-15,"Control return; engage core",""
Glute Kickback (Cable),Cable glute isolation,Glutes,,machine,12-15,"Drive heel back; squeeze glute",""
Cable Hip Abduction,Standing abduction with cable,Glute Medius,,machine,12-15,"Avoid torso lean; lead with hip",""
Cable Hip Adduction,Add adduction with cable,Adductors,,machine,12-15,"Contract inner thigh",""
Good Morning (DB),Dumbbell variation for hinge,Hamstrings,Lower Back,dumbbell,8-12,"Hinge from hips; soft knees",""
Sissy Squat,Quads isolation bodyweight,Quads,,bodyweight,8-12,"Controlled; keep torso vertical",""
Jefferson Curl,Slow weighted spinal flexion,Full back,Hamstrings,barbell,8-10,"Slow; controlled mobility work",""
Pendlay Row,Barbell row from floor,Back,,barbell,5-8,"Explosive from floor; reset each rep",""
Snatch Grip Deadlift,Wide grip DL for upper back,Back,Hamstrings,barbell,3-6,"Wide grip; keep chest high",""
Clean Pull,High pull for power,Back,Quads,barbell,3-5,"Explode hips; shrug at top",""
Power Clean,Catch in front rack,Power,Full Body,barbell,1-5,"Explode; catch with soft knees",""
DB Clean & Press,Combo movement,Full Body,Shoulders,dumbbell,6-8,"Explode hips; press overhead",""
Thruster,Front squat to overhead,Full Body,Quads,dumbbell/barbell,6-8,"Use legs to drive overhead",""
Renegade Row,Plank row with push-up,Back,Core,dumbbell,8-12,"Keep hips square; tight core",""
Medicine Ball Slam,Explosive slam for power,Full Body,Core,medicine ball,8-12,"Explode from hips; full release",""
TRX Row,Suspension row,Back,Biceps,bodyweight/TRX,8-12,"Body straight; squeeze shoulder blades",""
TRX Chest Press,Suspension chest press,Chest,Triceps,bodyweight/TRX,8-12,"Keep core tight; elbows 45°",""
Battle Ropes,Alternating rope waves,Full Body,Conditioning,rope,20-60s,"Drive with hips; full range",""
Assisted Pull-Up,Machine assisted version,Back,Biceps,machine,6-12,"Use smooth reps; full stretch",""
Smith Machine Squat,Smith-based squat,Quads,Glutes,smith,6-10,"Feet placement matters; control bar path",""
Hack Squat,Machine-based squat,Quads,Glutes,machine,8-12,"Keep knees out; full ROM",""
Leg Curl (Swiss Ball),Hamstring curl via ball,Hamstrings,Core,bodyweight/ball,12-15,"Slow return; squeeze hamstrings",""
Sled Drag,Rear-loaded sled drag,Hips,Quads,sled,10-50m,"Keep chest up; long strides",""
Reverse Hyper,Back rehab and glute device,Lower Back,Glutes,machine,8-12,"Controlled swing; squeeze glutes",""
Nordic Ham Curl,Advanced hamstring bodyweight,Hamstrings,Glutes,bodyweight,4-8,"Slow eccentric; partner assist",""
Good Morning (Band),Band-based hinge,Hamstrings,Lower Back,band,12-15,"Control tension; soft knees",""
Single-Leg Glute Bridge,One-leg bridge variation,Glutes,Hamstrings,bodyweight,10-12,"Drive with heel; squeeze glute",""
Cable Pallof Press,Anti-rotation core press,Core,Shoulders,machine,8-12,"Resist rotation; brace core",""
Hanging Leg Raise,Hanging core lift,Abs,Hip Flexors,bodyweight,8-15,"Control; avoid swing",""
Weighted Sit-Up,Sit-up with weight,Abs,,weight,10-15,"Slow; full contraction at top",""
Plank,Static brace for core,Core,,bodyweight,30-120s,"Brace full body; neutral spine",""
Side Plank,Oblique-oriented plank,Obliques,Core,bodyweight,20-90s,"Stack hips; tight glutes",""
Russian Twist,Rotational core with DB,Obliques,Core,dumbbell,12-20,"Rotate from torso; keep feet down/up",""
Mountain Climbers,Dynamic core/conditioning,Core,Cardio,bodyweight,20-60s,"Drive knees; keep hips low",""
Bicycle Crunches,Alternating elbow to knee,Abs,Obliques,bodyweight,20-40,"Slow and controlled rotations",""
Hollow Hold,Core isometric hold,Core,,bodyweight,20-60s,"Flatten lower back; breathe",""
Superman,Back extension bodyweight,Lower Back,Glutes,bodyweight,10-15,"Lift chest and legs; squeeze glutes",""
Bird Dog,Core & balance,Core,Lower Back,bodyweight,8-12,"Reach long; brace core",""
Farmer Walk (Single DB),Carry for core & grip,Forearms,Core,dumbbell,30-90s,"Tall posture; short steps",""
Zercher Squat,Front-of-body squat,Quads,Core,barbell,6-10,"Hold bar in crook; keep chest up",""
Sled Sprint,Sled sprint conditioning,Legs,Cardio,sled,20-60m,"Explosive drive; short strides",""
Assisted Dip,Machine-assisted dips,Chest/Triceps,,machine,6-12,"Control descent; use full ROM",""
Iso-Hold Pull-Up,Top-of-pull-up hold,Back,Isometrics,bodyweight,10-30s,"Hold shoulders down; breathe",""
Eccentric-Only Bench,Lower-only bench for strength,Chest,Triceps,barbell,3-6,"Slow 5-8s eccentric, spotter",""
Tempo Squat,Specific tempo for squat,Quads,Glutes,barbell,5-8,"Control descent; explode up",""
Band Pull-Apart,Scapular retraction with band,Rear Delts,Upper Back,band,15-25,"Squeeze shoulder blades; slow",""
Scapular Pull-Up,Shoulder blade work for pull-ups,Scapular Muscles,Back,bodyweight,8-12,"Retract scapula; small range",""
Isometric Wall Sit,Static quad hold,Quads,,bodyweight,30-90s,"Back flat to wall; low position",""
Wrist Curl,Forearm curl,Forearms,,dumbbell,12-20,"Slow control; full ROM",""
Reverse Wrist Curl,Forearm extension,Forearms,,dumbbell,12-20,"Slow eccentrics; wrist focus",""
Cable Lateral Raise,One-arm cable lateral,Delts,,machine,10-15,"Lead with elbow; slow eccentrics",""
Incline Push-Up,Hands elevated push-up,Chest,Triceps,bodyweight,10-20,"Tight core; full press",""
Decline Push-Up,Feet elevated push-up,Chest,Triceps,bodyweight,8-15,"Maintain straight line; full range",""
Incline DB Fly,Incline fly for upper chest,Chest,,dumbbell,10-12,"Slight elbow bend; control",""
DB Pullover,Pullover for chest & lats,Chest,Lats,dumbbell,8-12,"Deep stretch; controlled return",""
Weighted Step-Up,DB step-up with load,Quads,Glutes,dumbbell,8-10,"Drive through heel; steady tempo",""
Sots Press,Overhead press from squat,Shoulders,Thoracic mobility,barbell,3-6,"Mobility + strength; slow",""
Turkish Get-Up,Full-body stability move,Full Body,Core,kettlebell,3-6,"Break into positions; control",""
Windmill,Weighted hinge + rotation,Obliques,Hamstrings,barbell/dumbbell,6-10,"Hinge and rotate; eyes on weight",""
KB Farmer Carry,Kettlebell carry for grip,Forearms,Core,kettlebell,30-90s,"Tall posture; steady pace",""
KB Overhead Carry,Overhead carry for core,Shoulders,Core,kettlebell,20-60s,"Lock out shoulder; brace core",""
Sled Reverse Drag,Sled drag backward,Glutes,Legs,sled,10-50m,"Push through heels; chest up",""
Box Step-Down,Step-down eccentric quad/glute work,Quads,Glutes,bodyweight,8-12,"Control descent; land softly",""
KB Suitcase Carry,One-side carry for anti-rotation,Obliques,Core,kettlebell,30-60s,"Stand tall; resist lean",""
Bench Step-Up,Step-up onto bench,Quads,Glutes,dumbbell,8-12,"Drive through heel of working leg",""
Incline Row,Row on incline bench,Mid Back,Rear Delts,dumbbell/plate,8-12,"Chest supported; full squeeze",""
Pendulum Lunge,Rotational lunge variation,Quads,Glutes,bodyweight,8-12,"Control rotation; steady tempo",""
DB Lateral Lunge,Lateral step and squat,Adductors,Quads,dumbbell,8-12,"Push hips back; keep torso upright",""
Single Arm Landmine Press,Press with landmine rotation,Delts,Core,landmine,6-10,"Rotate torso slightly; control end",""
